?#DB-ID;Nummer;Name;Name mit Ort;Globale ID;GKZ;Ort;Teilort;Landkreis;Tarifzonen;Tarifnummer;Relationscode;Verkehrsmittel;Linien;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate;Umgebungskarte;Umgebungskarte (ME)
1;2;Waldburgstraße;Waldburgstraße;de:8111:2;8111000;Stuttgart;Stuttgart;S;20;20;22;"Bus;Nachtbus";81,82,86,E,N10;81,82,86,E,N10;30081_,30082_,30086_,30086a,33010_;5;30,33;2728651,075;5403320,253;;
2;5;Fauststraße;Fauststraße;de:8111:5;8111000;Stuttgart;Stuttgart;S;20;20;22;"Stadtbahn;Nachtbus";U1,N10;U1,N10;20001_,33010_;2;20,33;2729164,803;5404057,507;;
3;6;Vaihingen Viadukt;Vaihingen Viadukt;de:8111:6;8111000;Stuttgart;Stuttgart;S;20;20;22;Stadtbahn;U1;U1;20001_;1;20;2729462,146;5404237,46;uVaihViadukt.pdf;me_plaene\ME_VaihViadukt.pdf
4;8;Engelboldstraße;Engelboldstraße;de:8111:8;8111000;Stuttgart;Stuttgart;S;20;20;22;"Nachtbus;Stadtbahn";U1,N10;U1,N10;20001_,33010_;2;20,33;2730116,335;5404713,874;;
5;13;Südheimer Platz;Südheimer Platz;de:8111:13;8111000;Stuttgart;Stuttgart;S;10;10;10;"Stadtbahn;Seilbahn;Bus;Nachtbus";U1,U4,U14,20,92,N1;U1,U4,U14,20,92,N1;20001_,20004_,20014_,21020_,30092_,33001_;6;20,21,30,33;2731161,922;5406897,134;uSuedh.pdf;
6;15;Bihlplatz;Bihlplatz;de:8111:15;8111000;Stuttgart;Stuttgart;S;10;10;10;Stadtbahn;U1,U4,U14;U1,U4,U14;20001_,20004_,20014_;3;20;2731731,101;5407269,067;;
8;25;Neckartor;Neckartor;de:8111:25;8111000;Stuttgart;Stuttgart;S;10;10;10;"Stadtbahn;Nachtbus";U1,U2,U4,U9,U11,U14,N4,N6;U1,U2,U4,U9,U11,U14,N4,N6;20001_,20002_,20004_,20009_,20011_,20014_,33004_,33006_;8;20,33;2734443,381;5410308,214;uneckart.pdf;me_plaene\ME_Neckart.pdf
9;26;Stöckach;Stöckach;de:8111:26;8111000;Stuttgart;Stuttgart;S;10;10;10;"Stadtbahn;Nachtbus";U1,U2,U4,U9,U11,U14,N4,N6;U1,U2,U4,U9,U11,U14,N4,N6;20001_,20002_,20004_,20009_,20011_,20014_,33004_,33006_;8;20,33;2734808,938;5410663,122;uStoeck.pdf;
10;27;Metzstraße;Metzstraße;de:8111:27;8111000;Stuttgart;Stuttgart;S;10;10;10;Stadtbahn;U1,U2,U11,U14;U1,U2,U11,U14;20001_,20002_,20011_,20014_;4;20;2735185,376;5411021,465;;
11;28;Mineralbäder;Mineralbäder;de:8111:28;8111000;Stuttgart;Stuttgart;S;10,2;120;120;Stadtbahn;U1,U2,U11,U14;U1,U2,U11,U14;20001_,20002_,20011_,20014_;4;20;2735547,046;5411576,513;uMineral.pdf;
12;30;Mercedesstraße;Mercedesstraße;de:8111:30;8111000;Stuttgart;Stuttgart;S;20;20;20;Stadtbahn;U1,U2,U11;U1,U2,U11;20001_,20002_,20011_;3;20;2736000,121;5411946,895;uMercedes.pdf;me_plaene\ME_Mercedes.pdf
13;32;Uff-Kirchhof;Uff-Kirchhof;de:8111:32;8111000;Stuttgart;Stuttgart;S;20;20;20;"Nachtbus;Stadtbahn";U1,U13,N6;U1,U13,N6;20001_,20013_,33006_;3;20,33;2736992,812;5412524,833;;
14;33;Augsburger Platz;Augsburger Platz;de:8111:33;8111000;Stuttgart;Stuttgart;S;20;20;20;"Nachtbus;Stadtbahn";U1,N6;U1,N6;20001_,33006_;2;20,33;2737329,601;5412644,272;uAugsPl.pdf;me_plaene\ME_AugsPl.pdf
15;34;Nürnberger Straße;Nürnberger Straße;de:8111:34;8111000;Stuttgart;Stuttgart;S;20;20;820;"Nachtbus;S-Bahn;R-Bahn;Stadtbahn";S2,S3,R2,R3,U1,N6;S2,S3,R2,R3,U1,N6;10002_,10003_,11002_,11003_,20001_,33006_;6;10,11,20,33;2737619,539;5412732,82;uNuernb.pdf;me_plaene\ME_Nuernb.pdf
16;35;Antwerpener Straße;Antwerpener Straße;de:8111:35;8111000;Stuttgart;Stuttgart;S;20;20;820;"Nachtbus;Stadtbahn";U1,N6;U1,N6;20001_,33006_;2;20,33;2738251,44;5412962,044;;
17;36;Beskidenstraße;Beskidenstraße;de:8111:36;8111000;Stuttgart;Stuttgart;S;20;20;820;"Nachtbus;Stadtbahn";U1,N6;U1,N6;20001_,33006_;2;20,33;2738985,044;5413177,254;;
18;37;Höhenstraße;Fellbach Höhenstraße;de:8119:37;8119020;Fellbach;Fellbach;WN;20,32;132;432;"Stadtbahn;Bus;Nachtbus";U1,227,N6;U1,227,N6;20001_,31227_,33006_;3;20,31,33;2739576,898;5413380,866;;
19;38;Esslinger Straße;Fellbach Esslinger Straße;de:8119:38;8119020;Fellbach;Fellbach;WN;20,32;132;432;"Bus;Stadtbahn";U1,212;U1,212;20001_,31212_;2;20,31;2740148,411;5413465,501;;
20;39;Schwabenlandhalle;Fellbach Schwabenlandhalle;de:8119:39;8119020;Fellbach;Fellbach;WN;20,32;132;432;"Bus;Stadtbahn";U1,207,212;U1,207,212;20001_,31207_,31212_;3;20,31;2740252,274;5413092,039;ufellblu.pdf;
21;43;Heslach Vogelrain;Heslach Vogelrain;de:8111:43;8111000;Stuttgart;Stuttgart;S;10,2;120;122;"Stadtbahn;Nachtbus;Bus";U1,U14,92,N1;U1,U14,92,N1;20001_,20014_,30092_,33001_;4;20,30,33;2730789,603;5406535,966;uHeVogel.pdf;
22;55;Berliner Platz (Hohe Straße);Berliner Platz (Hohe Straße);de:8111:55;8111000;Stuttgart;Stuttgart;S;10;10;10;"Nachtbus;Stadtbahn;Bus";U1,U2,U4,U9,U14,43,N2;U1,U2,U4,U9,U14,43,N2;20001_,20002_,20004_,20009_,20014_,30043_,33002_;7;20,30,33;2732889,356;5409286,558;uberlin.pdf;
23;76;Karl-Olga-Krankenhaus;Karl-Olga-Krankenhaus;de:8111:76;8111000;Stuttgart;Stuttgart;S;10;10;10;"Nachtbus;Stadtbahn";U4,U9,N6;U4,U9,N6;20004_,20009_,33006_;3;20,33;2735338,412;5410696,017;;
24;77;Bergfriedhof;Bergfriedhof;de:8111:77;8111000;Stuttgart;Stuttgart;S;10;10;10;"Nachtbus;Stadtbahn";U4,U9,N6;U4,U9,N6;20004_,20009_,33006_;3;20,33;2735616,016;5410690,94;;
25;78;Ostheim Leo-Vetter-Bad;Ostheim Leo-Vetter-Bad;de:8111:78;8111000;Stuttgart;Stuttgart;S;10;10;10;"Stadtbahn;Bus";U4,U9,56;U4,U9,56;20004_,20009_,30056_;3;20,3;2736010,761;5410254,846;uOstheim.pdf;
26;79;Gaisburg;Gaisburg;de:8111:79;8111000;Stuttgart;Stuttgart;S;10;10;10;Stadtbahn;U4,U9;U4,U9;20004_,20009_;2;20;2736357,736;5410141,341;uGaisburg.pdf;me_plaene\ME_Gaisburg.pdf
27;80;Wangener-/Landhausstraße;Wangener-/Landhausstraße;de:8111:80;8111000;Stuttgart;Stuttgart;S;10,2;120;420;"Nachtbus;Stadtbahn";U4,U9,N6,N7;U4,U9,N6,N7;20004_,20009_,33006_,33007_;4;20,33;2736862,92;5410003,028;;
