Name,Longitude,Latitude
5000002,09.10740,48.72546
5000005,09.11478,48.73189
5000006,09.11892,48.73340
5000008,09.12806,48.73743
5000013,09.14348,48.75665
5000015,09.15142,48.75978
5000025,09.18998,48.78605
5000026,09.19515,48.78910
5000027,09.20047,48.79217
5000028,09.20570,48.79702
5000030,09.21207,48.80017
5000032,09.22590,48.80499
5000033,09.23054,48.80593
5000034,09.23454,48.80661
5000035,09.24326,48.80843
5000036,09.25335,48.81008
5000037,09.26152,48.81168
5000038,09.26935,48.81206
5000039,09.27053,48.80883
5000043,09.13822,48.75354
5000055,09.16829,48.77746
5000076,09.20236,48.78919
5000077,09.20613,48.78904
5000078,09.21125,48.78498
5000079,09.21590,48.78383
5000080,09.22268,48.78239
5000081,09.22718,48.78143
5000082,09.23330,48.77809
5000083,09.23745,48.77572
5000084,09.24374,48.77608
5000086,09.25270,48.77840
5000087,09.25998,48.77439
5000089,09.26453,48.76779
5000090,09.26585,48.76573
5000094,09.14714,48.83740
5000095,09.14199,48.84046
5000096,09.14751,48.84198
5000097,09.15331,48.84331
5000100,09.15612,48.85015
5000102,09.15706,48.84673
5000103,09.15935,48.84250
5000104,09.16104,48.83825
5000105,09.16683,48.85095
5000106,09.16471,48.83258
5000107,09.17053,48.83227
5000108,09.17464,48.83081
5000109,09.18147,48.83590
5000110,09.17276,48.82298
5000111,09.17531,48.81969
5000112,09.17757,48.81584
5000114,09.16476,48.84971
5000115,09.18251,48.79786
5000123,09.19170,48.77564
5000124,09.19475,48.77346
5000125,09.19548,48.76950
5000126,09.20089,48.76647
5000129,09.20807,48.74768
5000130,09.18837,48.75144
5000136,09.23390,48.73810
5000137,09.23029,48.74358
5000141,09.07248,48.80113
5000142,09.07668,48.80221
5000143,09.08244,48.80238
5000144,09.08743,48.80269
5000145,09.09304,48.80269
5000146,09.10118,48.80426
5000147,09.10502,48.80730
5000148,09.10859,48.81079
5000149,09.06746,48.80097
5000150,09.11724,48.81411
5000151,09.12397,48.81464
5000152,09.13552,48.81217
5000153,09.14241,48.80978
5000154,09.15015,48.81017
5000156,09.16306,48.81024
5000158,09.17718,48.81104
5000159,09.18603,48.76981
5000161,09.18084,48.76376
5000162,09.18172,48.75955
5000163,09.17474,48.75485
5000164,09.17219,48.75223
5000165,09.17225,48.75506
5000170,09.13928,48.72775
5000174,09.14333,48.70375
5000175,09.14293,48.69637
5000183,09.13672,48.72189
5000190,09.25670,48.62777
5000211,09.13217,48.77943
5000212,09.13321,48.77716
5000215,09.13906,48.77478
5000216,09.14150,48.77232
5000217,09.14594,48.77471
5000218,09.15141,48.77491
5000222,09.21212,48.78895
5000225,09.24532,48.77167
5000226,09.24920,48.76672
5000227,09.25452,48.75985
5000229,09.17630,48.78013
5000254,09.20694,48.80276
5000262,09.19435,48.80703
5000263,09.20407,48.80803
5000264,09.23445,48.79963
5000265,09.24211,48.79317
5000267,09.24668,48.78755
5000268,09.24903,48.78398
5000271,09.22524,48.83958
5000272,09.22210,48.83635
5000274,09.21214,48.82968
5000275,09.21282,48.82560
5000276,09.22240,48.82410
5000277,09.22645,48.82082
5000278,09.22201,48.81658
5000279,09.21527,48.82243
5000280,09.21740,48.81391
5000281,09.21542,48.80960
5000288,09.20680,48.84111
5000289,09.20206,48.83764
5000296,09.19015,48.79805
5000297,09.18982,48.79316
5000298,09.18376,48.79372
5000303,09.18213,48.79399
5000306,09.20787,48.78106
5000309,09.11978,48.69440
5000310,09.12562,48.69235
5000316,09.14673,48.72818
